Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_037200125.1	ASM3720012v1	Gammaproteobacteria bacterium					CoA_metab_bin.120		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7306838	Contig	2024-03-16	JBBCGS01	1120983								PacBio Sequel II	Czech Academy of Science	PRJNA603240	SAMN40260315	6501	6227	222				
GCA_038141645.1	SD4487_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4487_NP_metabat_bins_2.tsv.863			1073543	Contig	2024-04-15	JAYQIM01	1073543								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862372							
GCA_019651255.1	ASM1965125v1	Gammaproteobacteria bacterium					CM1_5m.P61		Annotation submitted by Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	1144491	Contig	2021-05-08	BOXZ01	1066286								Nanopore GridION; PacBio Sequel; Illumina Miseq	Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	PRJDB11069	SAMD00290901	1271	1238					
GCA_038143935.1	SD4486_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4486_NP_metabat_bins_2.tsv.171_sub			1065287	Contig	2024-04-15	JAYQMW01	1065287								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862258							
GCA_038144425.1	SD4486_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4486_NP_maxbin_bins.tsv.074			3035073	Contig	2024-04-15	JAYQNS01	1052124								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862236							
GCA_038147235.1	SD3109_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD3109_NP_metabat_bins_2.tsv.421			1117758	Contig	2024-04-15	JAYQTF01	1011296								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862093							
GCA_016125505.1	ASM1612550v1	Gammaproteobacteria bacterium					RI_92		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4161867	Contig	2020-12-18	WGLP01	967440								Illumina HiSeq	GNS Science	PRJNA412936	SAMN12792709	4112	4012	58				
GCA_019649395.1	ASM1964939v1	Gammaproteobacteria bacterium					CM1_5m.P11		Annotation submitted by Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	1194163	Contig	2021-05-08	BOWB01	962337								Nanopore GridION; PacBio Sequel; Illumina Miseq	Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	PRJDB11069	SAMD00290851	1262	1225					
GCA_038142325.1	SD4487_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4487_NP_maxbin_bins.tsv.155			1095520	Contig	2024-04-15	JAYQJW01	936794								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862336							
GCA_038147295.1	SD3109_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD3109_NP_metabat_bins_2.tsv.409			1123399	Contig	2024-04-15	JAYQTH01	929034								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862091							
GCA_028338485.1	ASM2833848v1	Gammaproteobacteria bacterium					AH-657-P14		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1380010	Contig	2023-01-31	JAOKZY01	915025								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29372882	1402	1359	5				
GCA_026004975.1	ASM2600497v1	Gammaproteobacteria bacterium					KatS3mg121		Annotation submitted by RIKEN-BRC	1668516	Contig	2022-10-11	BPKE01	885013								PacBio Sequel II	RIKEN-BRC	PRJDB11609	SAMD00319445	1580	1552					
GCA_019649595.1	ASM1964959v1	Gammaproteobacteria bacterium					CM1_5m.P19		Annotation submitted by Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	1003251	Contig	2021-05-08	BOWJ01	882254								Nanopore GridION; PacBio Sequel; Illumina Miseq	Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	PRJDB11069	SAMD00290859	1260	1225					
GCA_028383575.1	ASM2838357v1	Gammaproteobacteria bacterium					AH-135-D19		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1363145	Contig	2023-02-01	JAOEVT01	860342								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29269774	1423	1382	1				
GCA_028383985.1	ASM2838398v1	Gammaproteobacteria bacterium					AH-135-C04		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1322907	Contig	2023-02-01	JAOEWR01	859902								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29269745	1378	1340	1				
GCA_016718385.1	ASM1671838v1	Gammaproteobacteria bacterium					OdNW_18-Q3-R42-56_BATAC.277		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4988864	Contig	2021-01-19	JADKDK01	856318								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16426362	4609	4290	265				
GCA_026706935.1	ASM2670693v1	Gammaproteobacteria bacterium					COS4_bin_15		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3566117	Contig	2022-12-06	JAPOXV01	836175								Illumina	Australian Centre for Ecogenomics	PRJNA602572	SAMN15855152	3137	3064	22				
GCA_038143855.1	SD4486_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4486_NP_metabat_bins_2.tsv.330			1252073	Contig	2024-04-15	JAYQMR01	826414								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862263							
GCA_002716945.1	ASM271694v1	Gammaproteobacteria bacterium					SP4045		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1089911	Contig	2017-10-25	PBCF01	820192								Illumina HiSeq	Tara Oceans Consortium	PRJNA391943	SAMN07619132	1190	1152	6				
GCA_024234955.1	ASM2423495v1	Gammaproteobacteria bacterium					HK-STAS-PROT-142		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3290790	Contig	2022-07-12	JACKNK01	808062								Illumina HiSeq; Oxford Nanopore PromethION	The University of Hong Kong	PRJNA648801	SAMN15688027	3137	3055	28				
GCA_019652555.1	ASM1965255v1	Gammaproteobacteria bacterium					CM1_5m.P123		Annotation submitted by Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	1236419	Contig	2021-05-08	BPAJ01	797522								Nanopore GridION; PacBio Sequel; Illumina Miseq	Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	PRJDB11069	SAMD00290963	1463	1422					
GCA_028273925.1	ASM2827392v1	Gammaproteobacteria bacterium					AH-545-M08		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1244187	Contig	2023-01-30	JAOLVE01	738011								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29367249	1299	1257	6				
GCA_038142225.1	SD4487_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4487_NP_metabat_bins_2.tsv.143			843873	Contig	2024-04-15	JAYQJN01	730391								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862345							
GCA_028143965.1	ASM2814396v1	Gammaproteobacteria bacterium					AH-224-O16		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1268031	Contig	2023-01-27	JAOGAG01	722161								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29364274	1321	1280	4				
GCA_009845905.1	ASM984590v1	Gammaproteobacteria bacterium					SB0670_bin_17		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2801212	Scaffold	2020-01-09	VXYS01	720678	720678							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598533	2527	2462	14				
GCA_016703985.1	ASM1670398v1	Gammaproteobacteria bacterium					AalW_18-Q3-R10-53_MAXAC.084		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4839875	Contig	2021-01-19	JADJAZ01	706471								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16425571	4493	4280	159				
GCA_019649545.1	ASM1964954v1	Gammaproteobacteria bacterium					CM1_5m.P17		Annotation submitted by Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	1363747	Contig	2021-05-08	BOWH01	699287								Nanopore GridION; PacBio Sequel; Illumina Miseq	Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	PRJDB11069	SAMD00290857	1665	1627					
GCA_028339505.1	ASM2833950v1	Gammaproteobacteria bacterium					AH-657-L14		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1220338	Contig	2023-01-31	JAOLCG01	693823								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29372814	1291	1251	4				
GCA_028106705.1	ASM2810670v1	Gammaproteobacteria bacterium					AH-700-M16		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1370994	Contig	2023-01-27	JAOGQP01	693158								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29373400	1445	1402	2				
GCA_028144395.1	ASM2814439v1	Gammaproteobacteria bacterium					AH-224-N07		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1257133	Contig	2023-01-27	JAOGBA01	689856								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29364252	1329	1286	3				
GCA_038143815.1	SD4486_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4486_NP_metabat_bins_2.tsv.429			2777733	Contig	2024-04-15	JAYQMO01	676819								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862266							
GCA_038142765.1	SD4487_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4487_NP_concoct_bins.tsv.124			2647902	Contig	2024-04-15	JAYQKQ01	663008								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862316							
GCA_004173475.1	ASM417347v1	Gammaproteobacteria bacterium					PMG_192		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4729660	Contig	2019-02-12	SEBU01	653102								Illumina HiSeq	University of East Anglia	PRJNA272922	SAMN10678589	4103	3998	49				
GCA_012103475.1	ASM1210347v1	Gammaproteobacteria bacterium					MH-Pat-SR_autometa_4-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4192771	Contig	2020-04-06	WLWS01	632675								Illumina HiSeq 2500	VICTORIA UNIVERSITY WELLINGTON	PRJNA515312	SAMN12903689	4015	3905	64				
GCA_037355305.1	ASM3735530v1	Gammaproteobacteria bacterium					S7_bin.26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8009739	Contig	2024-03-19	JBBCIA01	627010								PacBio Sequel II	Czech Academy of Science	PRJNA603240	SAMN40260349	7577	7004	520				
GCA_024235015.1	ASM2423501v1	Gammaproteobacteria bacterium					HK-STAS-PROT-138		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4659778	Contig	2022-07-12	JACKNG01	626237								Illumina HiSeq; Oxford Nanopore PromethION	The University of Hong Kong	PRJNA648801	SAMN15688023	4249	4174	27				
GCA_038141845.1	SD4487_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4487_NP_metabat_bins_2.tsv.551			1032056	Contig	2024-04-15	JAYQIW01	621759								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862362							
GCA_016709565.1	ASM1670956v1	Gammaproteobacteria bacterium					EsbW_18-Q3-R4-48_BATAC.420		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4796675	Contig	2021-01-19	JADJMN01	599934								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16425884	4511	4271	187				
GCA_026713005.1	ASM2671300v1	Gammaproteobacteria bacterium					APA_bin_54		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2161262	Contig	2022-12-06	JAPOPH01	590808								Illumina	Australian Centre for Ecogenomics	PRJNA602572	SAMN15854920	1955	1901	18				
GCA_018675635.1	ASM1867563v1	Gammaproteobacteria bacterium					SI034_bin82		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1085499	Contig	2021-06-02	JABGXU01	590524								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14913904	1189	1148	4				
GCA_016712635.1	ASM1671263v1	Gammaproteobacteria bacterium					Fred_18-Q3-R57-64_MAXAC.292		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3054801	Contig	2021-01-19	JADJQS01	584161								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16426007	2930	2749	129				
GCA_018823525.1	ASM1882352v1	Gammaproteobacteria bacterium					Modern_marine_planktonic.mb.7		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3899530	Contig	2021-06-09	JAHJIC01	562443								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19298181	3708	3638	25				
GCA_022820375.1	ASM2282037v1	Gammaproteobacteria bacterium					p16x43bins.54			3923466	Contig	2022-04-06	JAJEFP01	561761								Illumina NovaSeq6000	Stony Brook University	PRJNA768976	SAMN22072849							
GCA_038141625.1	SD4487_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4487_NP_metabat_bins_2.tsv.906			1014753	Contig	2024-04-15	JAYQIK01	551591								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862374							
GCA_036000105.1	ASM3600010v1	Gammaproteobacteria bacterium					SMAG_U4205		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2692542	Contig	2024-01-23	DASYGE01	535629								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37958303	2639	2575	14				
GCA_009840545.1	ASM984054v1	Gammaproteobacteria bacterium					SB0661_bin_9		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3389859	Scaffold	2020-01-09	VXNM01	526868	714216							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598241	2832	2760	27				
GCA_038141165.1	SD4487_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4487_NP_metabta_bins_sspec.tsv.074			1802650	Contig	2024-04-15	JAYQHO01	506939								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862396							
GCA_028126215.1	ASM2812621v1	Gammaproteobacteria bacterium					AH-226-G11		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	904626	Contig	2023-01-27	JAOHYS01	506831								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29364469	971	945	2				
GCA_030426355.1	ASM3042635v1	Gammaproteobacteria bacterium					3_bin.74			2823934	Contig	2023-07-11	JAUHYQ01	502058								Illumina HiSeq	Inha University	PRJNA967453	SAMN36083631							
GCA_016711975.1	ASM1671197v1	Gammaproteobacteria bacterium					Hade_18-Q3-R52-61_BATAC.282		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4501920	Contig	2021-01-19	JADJRX01	501101								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16426042	4173	3959	161				
GCA_012103415.1	ASM1210341v1	Gammaproteobacteria bacterium					MH-Pat-all_autometa_1-6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5786418	Contig	2020-04-06	WLWU01	493850								Illumina HiSeq 2500; PacBio Sequel	VICTORIA UNIVERSITY WELLINGTON	PRJNA515312	SAMN12903691	5212	4833	323				
GCA_013816845.1	ASM1381684v1	Gammaproteobacteria bacterium					MGR_bin342		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2800837	Contig	2020-07-28	JACDDU01	489459								Illumina NextSeq	Monash University	PRJNA630822	SAMN15052233	2546	2484	13				
GCA_038147115.1	SD3109_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD3109_NP_metabta_bins_sspec.tsv.085			793514	Contig	2024-04-15	JAYQST01	470208								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862105							
GCA_036678305.1	ASM3667830v1	Gammaproteobacteria bacterium					R1Feb2020-bin.9			5046461	Contig	2024-02-16	JAZIHX01	467343								Illumina NovaSeq	University of British Columbia	PRJNA885503	SAMN35100029							
GCA_034521715.1	ASM3452171v1	Gammaproteobacteria bacterium					Salar_de_Ascotan_soil_MAG_ASO37		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2845471	Contig	2023-12-21	JAXHLY01	458666								Illumina NovaSeq; Oxford Nanopore MinION	Grupo de Microbiologia Integrativa, Facultad de Ciencias, Universidad de Chile	PRJNA1023877	SAMN38083153	3259	2762	439				
GCA_028339475.1	ASM2833947v1	Gammaproteobacteria bacterium					AH-657-L15		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1433953	Contig	2023-01-31	JAOLCF01	456284								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29372815	1485	1442	6				
GCA_036678325.1	ASM3667832v1	Gammaproteobacteria bacterium					R1Sept2020-bin.24			2882858	Contig	2024-02-16	JAZIHZ01	453985								Illumina NovaSeq	University of British Columbia	PRJNA885503	SAMN35100031							
GCA_018813425.1	ASM1881342v1	Gammaproteobacteria bacterium					Modern_marine.mb.26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3919020	Contig	2021-06-09	JAHJBO01	436986								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19298011	3725	3645	29				
GCA_018815585.1	ASM1881558v1	Gammaproteobacteria bacterium					MMS_A.mb.8		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3915557	Contig	2021-06-09	JAHIXP01	436796								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19297908	3729	3655	27				
GCA_022824965.1	ASM2282496v1	Gammaproteobacteria bacterium					jk18x34bins.59			1735078	Contig	2022-04-06	JAJDYY01	433392								Illumina NovaSeq6000	Stony Brook University	PRJNA768976	SAMN22072773							
GCA_024235055.1	ASM2423505v1	Gammaproteobacteria bacterium					HK-STAS-PROT-135		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3616015	Contig	2022-07-12	JACKND01	431971								Illumina HiSeq; Oxford Nanopore PromethION	The University of Hong Kong	PRJNA648801	SAMN15688020	3302	3182	73				
GCA_038142405.1	SD4487_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4487_NP_maxbin_bins.tsv.078			2366513	Contig	2024-04-15	JAYQJY01	424598								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862334							
GCA_012960305.1	ASM1296030v1	Gammaproteobacteria bacterium					UWMA-0302		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3111763	Scaffold	2020-05-04	DUBM01	418656	418656							Illumina HiSeq 2000	University of Wisconsin-Madison	PRJNA522654	SAMN10967637	2767	2698	27				
GCA_030949385.1	ASM3094938v1	Gammaproteobacteria bacterium					Faavne_M6_B8		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2868260	Contig	2023-08-29	JAUZSP01	416856								Oxford Nanopore MinION	University of Bergen	PRJNA949439	SAMN35424032	2814	2659	105				
GCA_028338515.1	ASM2833851v1	Gammaproteobacteria bacterium					AH-657-P08		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1569391	Contig	2023-01-31	JAOLAB01	411566								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29372879	1595	1550	4				
GCA_028279365.1	ASM2827936v1	Gammaproteobacteria bacterium					IP29b_bin.112			3143122	Contig	2023-01-30	JANQNX01	399945								DNBSEQ	The University of Melbourne	PRJNA857095	SAMN29486691							
GCA_019651755.1	ASM1965175v1	Gammaproteobacteria bacterium					CM1_5m.P86		Annotation submitted by Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	1415944	Contig	2021-05-08	BOYY01	398713								Nanopore GridION; PacBio Sequel; Illumina Miseq	Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	PRJDB11069	SAMD00290926	2000	1967					
GCA_963580585.1	CB21_Surface.9	Gammaproteobacteria bacterium					CB21_Surface.9			749078	Contig	2023-11-04	CAUZJX01	394240								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114237998							
GCA_034520625.1	ASM3452062v1	Gammaproteobacteria bacterium					Salar_de_Ascotan_soil_MAG_ASO80		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4474239	Contig	2023-12-21	JAXHNI01	388724								Illumina NovaSeq; Oxford Nanopore MinION	Grupo de Microbiologia Integrativa, Facultad de Ciencias, Universidad de Chile	PRJNA1023877	SAMN38083190	4102	3983	71				
GCA_021773395.1	ASM2177339v1	Gammaproteobacteria bacterium					OFTM196			3802679	Contig	2022-02-01	JAJFKB01	387421								Illumina NovaSeq	Lund University	PRJNA755678	SAMN22570338							
GCA_029881255.1	ASM2988125v1	Gammaproteobacteria bacterium					8_1_July_SF_Bin55		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4967022	Contig	2023-04-26	JAOUMY01	366181								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443150	4411	4324	47				
GCA_002711845.1	ASM271184v1	Gammaproteobacteria bacterium					SAT189		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3591292	Contig	2017-10-25	PASF01	363525								Illumina HiSeq	Tara Oceans Consortium	PRJNA391943	SAMN07620378	3170	3107	19				
GCA_034522315.1	ASM3452231v1	Gammaproteobacteria bacterium					Salar_de_Ascotan_soil_MAG_ASO15		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3152549	Contig	2023-12-21	JAXHLK01	363468								Illumina NovaSeq; Oxford Nanopore MinION	Grupo de Microbiologia Integrativa, Facultad de Ciencias, Universidad de Chile	PRJNA1023877	SAMN38083136	4175	3454	681				
